rating,date,variation,verified_reviews,feedback
2,14-Jan-20,Charcoal Fabric,The connection keeps dropping frequently. Very frustrating to use.,0
1,15-Jan-20,Walnut Finish,Terrible sound quality and very slow response time. Not worth the price.,0
1,16-Jan-20,Heather Gray,Stopped working after a month. Customer service was no help at all.,0
2,17-Jan-20,Sandstone,Voice recognition is poor. Alexa struggles to understand commands.,0
1,18-Jan-20,Charcoal Fabric,Device overheats after prolonged use. Unsafe and unreliable.,0
2,19-Jan-20,Walnut Finish,Limited functionality compared to other smart assistants.,0
1,20-Jan-20,Heather Gray,Setup was extremely difficult and not user-friendly.,0
1,21-Jan-20,Sandstone,Keeps sending irrelevant notifications. Very annoying.,0
2,22-Jan-20,Charcoal Fabric,"Sound quality is disappointing, especially the bass.",0
1,23-Jan-20,Walnut Finish,Does not integrate well with other smart home devices.,0
2,24-Jan-20,Heather Gray,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,25-Jan-20,Sandstone,Stopped working after a firmware update. Very frustrating.,0
1,26-Jan-20,Charcoal Fabric,Privacy concerns with Alexa always listening. Not comfortable with it.,0
2,27-Jan-20,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
1,28-Jan-20,Heather Gray,The app is buggy and crashes often.,0
1,29-Jan-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
2,30-Jan-20,Charcoal Fabric,No support for local music playback. Very limited.,0
1,31-Jan-20,Walnut Finish,Customer service is unresponsive and unhelpful.,0
2,01-Feb-20,Heather Gray,Annoying voice. Not pleasant to listen to.,0
1,02-Feb-20,Sandstone,Device feels cheap and poorly made.,0
1,03-Feb-20,Charcoal Fabric,Keeps disconnecting from Wi-Fi. Not reliable.,0
2,04-Feb-20,Walnut Finish,Alexa skills are limited and not very useful.,0
1,05-Feb-20,Heather Gray,Doesn't support multiple users well. Very inconvenient.,0
1,06-Feb-20,Sandstone,Constantly needs to be updated. Annoying and time-consuming.,0
2,07-Feb-20,Charcoal Fabric,Sound volume is too low even at maximum setting.,0
1,08-Feb-20,Walnut Finish,Stopped working after just a few weeks. Very disappointed.,0
2,09-Feb-20,Heather Gray,Voice commands are too complicated and not intuitive.,0
1,10-Feb-20,Sandstone,No support for Spotify. Very limited music options.,0
1,11-Feb-20,Charcoal Fabric,Alexa app is poorly designed and hard to navigate.,0
2,12-Feb-20,Walnut Finish,Device is too bulky and unattractive.,0
1,13-Feb-20,Heather Gray,No backup battery. Useless during power outages.,0
1,14-Feb-20,Sandstone,Microphone quality is poor. Doesn't pick up voice well.,0
2,15-Feb-20,Charcoal Fabric,Setup process is too complicated and time-consuming.,0
1,16-Feb-20,Walnut Finish,Stopped working after a software update. Very frustrating.,0
1,17-Feb-20,Heather Gray,Privacy concerns with Alexa always listening.,0
2,18-Feb-20,Sandstone,"Sound quality is poor, especially for the price.",0
1,19-Feb-20,Charcoal Fabric,Device feels cheap and poorly made.,0
1,20-Feb-20,Walnut Finish,Customer service is unresponsive and unhelpful.,0
2,21-Feb-20,Heather Gray,Voice recognition is inconsistent and unreliable.,0
1,22-Feb-20,Sandstone,Requires constant internet connection to function. Useless otherwise.,0
1,23-Feb-20,Charcoal Fabric,The app is buggy and crashes often.,0
2,24-Feb-20,Walnut Finish,Annoying voice. Not pleasant to listen to.,0
1,25-Feb-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
1,26-Feb-20,Sandstone,Doesn't support multiple users well. Very inconvenient.,0
2,27-Feb-20,Charcoal Fabric,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,28-Feb-20,Walnut Finish,Alexa skills are limited and not very useful.,0
1,29-Feb-20,Heather Gray,No support for Spotify. Very limited music options.,0
2,01-Mar-20,Sandstone,Constantly needs to be updated. Annoying and time-consuming.,0
1,02-Mar-20,Charcoal Fabric,Stopped working after a firmware update. Very frustrating.,0
1,03-Mar-20,Walnut Finish,Voice recognition is poor. Alexa struggles to understand commands.,0
2,04-Mar-20,Heather Gray,No backup battery. Useless during power outages.,0
1,05-Mar-20,Sandstone,Device overheats after prolonged use. Unsafe and unreliable.,0
1,06-Mar-20,Charcoal Fabric,The connection keeps dropping frequently. Very frustrating to use.,0
2,07-Mar-20,Walnut Finish,Sound volume is too low even at maximum setting.,0
1,08-Mar-20,Heather Gray,Limited functionality compared to other smart assistants.,0
1,09-Mar-20,Sandstone,Setup was extremely difficult and not user-friendly.,0
2,10-Mar-20,Charcoal Fabric,Keeps sending irrelevant notifications. Very annoying.,0
1,11-Mar-20,Walnut Finish,Stopped working after a month. Customer service was no help at all.,0
1,12-Mar-20,Heather Gray,Terrible sound quality and very slow response time. Not worth the price.,0
2,13-Mar-20,Sandstone,Alexa skills are limited and not very useful.,0
1,14-Mar-20,Charcoal Fabric,Stopped working after a software update. Very frustrating.,0
1,15-Mar-20,Walnut Finish,"Sound quality is disappointing, especially the bass.",0
2,16-Mar-20,Heather Gray,Voice commands are too complicated and not intuitive.,0
1,17-Mar-20,Sandstone,No support for local music playback. Very limited.,0
1,18-Mar-20,Charcoal Fabric,Voice recognition is poor. Alexa struggles to understand commands.,0
2,19-Mar-20,Walnut Finish,Device feels cheap and poorly made.,0
1,20-Mar-20,Heather Gray,Microphone quality is poor. Doesn't pick up voice well.,0
1,21-Mar-20,Sandstone,Requires constant internet connection to function. Useless otherwise.,0
2,22-Mar-20,Charcoal Fabric,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,23-Mar-20,Walnut Finish,Stopped working after just a few weeks. Very disappointed.,0
1,24-Mar-20,Heather Gray,Privacy concerns with Alexa always listening. Not comfortable with it.,0
2,25-Mar-20,Sandstone,"Sound quality is poor, especially for the price.",0
1,26-Mar-20,Charcoal Fabric,No backup battery. Useless during power outages.,0
1,27-Mar-20,Walnut Finish,Customer service is unresponsive and unhelpful.,0
2,28-Mar-20,Heather Gray,Annoying voice. Not pleasant to listen to.,0
1,29-Mar-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,30-Mar-20,Charcoal Fabric,Alexa app is poorly designed and hard to navigate.,0
2,31-Mar-20,Walnut Finish,Setup process is too complicated and time-consuming.,0
1,01-Apr-20,Heather Gray,Requires constant internet connection to function. Useless otherwise.,0
1,02-Apr-20,Sandstone,Privacy concerns with Alexa always listening.,0
2,03-Apr-20,Charcoal Fabric,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,04-Apr-20,Walnut Finish,Stopped working after a firmware update. Very frustrating.,0
1,05-Apr-20,Heather Gray,No support for Spotify. Very limited music options.,0
2,06-Apr-20,Sandstone,Stopped working after a month. Customer service was no help at all.,0
1,07-Apr-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,08-Apr-20,Walnut Finish,The connection keeps dropping frequently. Very frustrating to use.,0
2,09-Apr-20,Heather Gray,Sound volume is too low even at maximum setting.,0
1,10-Apr-20,Sandstone,Alexa skills are limited and not very useful.,0
1,11-Apr-20,Charcoal Fabric,Voice commands are too complicated and not intuitive.,0
2,12-Apr-20,Walnut Finish,Keeps sending irrelevant notifications. Very annoying.,0
1,13-Apr-20,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
1,14-Apr-20,Sandstone,Setup was extremely difficult and not user-friendly.,0
2,15-Apr-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,16-Apr-20,Walnut Finish,Voice recognition is inconsistent and unreliable.,0
1,17-Apr-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
2,18-Apr-20,Sandstone,No backup battery. Useless during power outages.,0
1,19-Apr-20,Charcoal Fabric,Microphone quality is poor. Doesn't pick up voice well.,0
1,20-Apr-20,Walnut Finish,The app is buggy and crashes often.,0
2,21-Apr-20,Heather Gray,Customer service is unresponsive and unhelpful.,0
1,22-Apr-20,Sandstone,No support for local music playback. Very limited.,0
1,23-Apr-20,Charcoal Fabric,Stopped working after a firmware update. Very frustrating.,0
2,24-Apr-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,25-Apr-20,Heather Gray,Alexa app is poorly designed and hard to navigate.,0
1,26-Apr-20,Sandstone,"Sound quality is poor, especially for the price.",0
2,27-Apr-20,Charcoal Fabric,Privacy concerns with Alexa always listening.,0
1,28-Apr-20,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
1,29-Apr-20,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
2,30-Apr-20,Sandstone,Annoying voice. Not pleasant to listen to.,0
1,01-May-20,Charcoal Fabric,Stopped working after just a few weeks. Very disappointed.,0
1,02-May-20,Walnut Finish,Microphone quality is poor. Doesn't pick up voice well.,0
2,03-May-20,Heather Gray,No support for Spotify. Very limited music options.,0
1,04-May-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,05-May-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
2,06-May-20,Walnut Finish,Setup was extremely difficult and not user-friendly.,0
1,07-May-20,Heather Gray,Stopped working after a month. Customer service was no help at all.,0
1,08-May-20,Sandstone,The connection keeps dropping frequently. Very frustrating to use.,0
2,09-May-20,Charcoal Fabric,Requires constant internet connection to function. Useless otherwise.,0
1,10-May-20,Walnut Finish,Stopped working after a software update. Very frustrating.,0
1,11-May-20,Heather Gray,Limited functionality compared to other smart assistants.,0
2,12-May-20,Sandstone,Sound volume is too low even at maximum setting.,0
1,13-May-20,Charcoal Fabric,Alexa skills are limited and not very useful.,0
1,14-May-20,Walnut Finish,Voice recognition is poor. Alexa struggles to understand commands.,0
2,15-May-20,Heather Gray,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,16-May-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,17-May-20,Charcoal Fabric,Customer service is unresponsive and unhelpful.,0
2,18-May-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,19-May-20,Heather Gray,Requires constant internet connection to function. Useless otherwise.,0
1,20-May-20,Sandstone,Stopped working after a firmware update. Very frustrating.,0
2,21-May-20,Charcoal Fabric,"Sound quality is poor, especially for the price.",0
1,22-May-20,Walnut Finish,Setup process is too complicated and time-consuming.,0
1,23-May-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
2,24-May-20,Sandstone,No support for local music playback. Very limited.,0
1,25-May-20,Charcoal Fabric,Voice recognition is poor. Alexa struggles to understand commands.,0
1,26-May-20,Walnut Finish,No backup battery. Useless during power outages.,0
2,27-May-20,Heather Gray,Privacy concerns with Alexa always listening.,0
1,28-May-20,Sandstone,The app is buggy and crashes often.,0
1,29-May-20,Charcoal Fabric,"Sound quality is poor, especially for the price.",0
2,30-May-20,Walnut Finish,Limited functionality compared to other smart assistants.,0
1,31-May-20,Heather Gray,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,01-Jun-20,Sandstone,Stopped working after a month. Customer service was no help at all.,0
2,02-Jun-20,Charcoal Fabric,Voice recognition is inconsistent and unreliable.,0
1,03-Jun-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,04-Jun-20,Heather Gray,Stopped working after a firmware update. Very frustrating.,0
2,05-Jun-20,Sandstone,Limited functionality compared to other smart assistants.,0
1,06-Jun-20,Charcoal Fabric,Privacy concerns with Alexa always listening.,0
1,07-Jun-20,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
2,08-Jun-20,Heather Gray,Sound volume is too low even at maximum setting.,0
1,09-Jun-20,Sandstone,Alexa skills are limited and not very useful.,0
1,10-Jun-20,Charcoal Fabric,Voice recognition is poor. Alexa struggles to understand commands.,0
2,11-Jun-20,Walnut Finish,Device feels cheap and poorly made.,0
1,12-Jun-20,Heather Gray,Microphone quality is poor. Doesn't pick up voice well.,0
1,13-Jun-20,Sandstone,Requires constant internet connection to function. Useless otherwise.,0
2,14-Jun-20,Charcoal Fabric,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,15-Jun-20,Walnut Finish,Stopped working after just a few weeks. Very disappointed.,0
